category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	set_label	n_input_symbols	n_mapped_proteins
PMID	PMID:33805359	5	94	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000323280,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,GZMK,CD6,CD79B,ITK	1.76e-08	0.0013	(2021) NF2 and Canonical Hippo-YAP Pathway Define Distinct Tumor Subsets Characterized by Different Immune Deficiency and Treatment Implications in Human Pleural Mesothelioma.	Down	17	17
PMID	PMID:34857027	4	30	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157	GZMK,CCR7,LEF1,IL7R	1.77e-08	0.0013	(2021) DropletQC: improved identification of empty droplets and damaged cells in single-cell RNA-seq data.	Down	17	17
PMID	PMID:25880808	4	30	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000364080	CD79A,CCR7,LEF1,HLA-DQB1	1.77e-08	0.0013	(2015) Lymphocyte gene expression signatures from patients and mouse models of hereditary hemochromatosis reveal a function of HFE as a negative regulator of CD8+ T-lymphocyte activation and differentiation in vivo.	Down	17	17
PMID	PMID:34675927	4	31	9606	9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000367013	IL7R,CD6,HLA-DQB1,TNFRSF25	2e-08	0.0014	(2021) A Comprehensive Review on the Role of Genetic Factors in Neuromyelitis Optica Spectrum Disorder.	Down	17	17
PMID	PMID:34804045	4	31	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157	GZMK,CCR7,LEF1,IL7R	2e-08	0.0014	(2021) Single-Cell Transcriptomic Analysis Reveals a Tumor-Reactive T Cell Signature Associated With Clinical Outcome and Immunotherapy Response In Melanoma.	Down	17	17
PMID	PMID:32341750	4	31	9606	9606.ENSP00000221972,9606.ENSP00000363689,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,ID3,CD79B,ITK	2e-08	0.0014	(2020) Zebrafish B cell acute lymphoblastic leukemia: new findings in an old model.	Down	17	17
PMID	PMID:24378360	4	32	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000398655	CCR7,LEF1,IL7R,ITK	2.25e-08	0.0014	(2014) Lymphoid enhancer binding factor-1 (LEF1) expression as a prognostic factor in adult acute promyelocytic leukemia.	Down	17	17
PMID	PMID:20107544	4	31	9606	9606.ENSP00000221972,9606.ENSP00000284154,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,GRAP,CD79B,ITK	2e-08	0.0014	(2009) Transmembrane adaptor proteins positively regulating the activation of lymphocytes.	Down	17	17
PMID	PMID:15837809	4	31	9606	9606.ENSP00000221972,9606.ENSP00000306157,9606.ENSP00000363689,9606.ENSP00000376544	CD79A,IL7R,ID3,CD79B	2e-08	0.0014	(2005) IL-7 receptor signaling is necessary for stage transition in adult B cell development through up-regulation of EBF.	Down	17	17
PMID	PMID:34239074	5	101	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,CCR7,LEF1,IL7R,CD79B	2.48e-08	0.0015	(2021) Delineating spatiotemporal and hierarchical development of human fetal innate lymphoid cells.	Down	17	17
