category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	set_label	n_input_symbols	n_mapped_proteins
Process	GO:0007166	9	2325	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000367013,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CCR7,LEF1,IL7R,CD6,HLA-DQB1,TNFRSF25,CD79B,ITK	4.73e-05	0.0289	Cell surface receptor signaling pathway	Down	17	17
Process	GO:0001771	2	12	9606	9606.ENSP00000246657,9606.ENSP00000323280	CCR7,CD6	6.42e-05	0.0317	Immunological synapse formation	Down	17	17
Process	GO:0050776	6	896	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000364080,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CCR7,IL7R,HLA-DQB1,CD79B,ITK	7.5e-05	0.0357	Regulation of immune response	Down	17	17
Component	GO:0009897	5	331	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000376544	CD79A,CCR7,IL7R,CD6,CD79B	7.54e-06	0.0067	External side of plasma membrane	Down	17	17
Component	GO:0019815	2	4	9606	9606.ENSP00000221972,9606.ENSP00000376544	CD79A,CD79B	1.06e-05	0.0067	B cell receptor complex	Down	17	17
Component	GO:0098552	6	531	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000376544	CD79A,CCR7,IL7R,CD6,HLA-DQB1,CD79B	3.96e-06	0.0067	Side of membrane	Down	17	17
TISSUES	BTO:0000570	13	2543	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000265165,9606.ENSP00000284154,9606.ENSP00000306157,9606.ENSP00000310880,9606.ENSP00000363689,9606.ENSP00000364080,9606.ENSP00000367013,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,GZMK,CCR7,VPREB3,LEF1,GRAP,IL7R,MAL,ID3,HLA-DQB1,TNFRSF25,CD79B,ITK	4.42e-09	8.42e-06	Hematopoietic system	Down	17	17
TISSUES	BTO:0000753	10	1496	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000310880,9606.ENSP00000367013,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,GZMK,CCR7,VPREB3,LEF1,IL7R,MAL,TNFRSF25,CD79B,ITK	8.28e-08	7.88e-05	Lymphoid tissue	Down	17	17
Keyword	KW-1064	5	157	9606	9606.ENSP00000221972,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CD6,HLA-DQB1,CD79B,ITK	2.08e-07	0.00014	Adaptive immunity	Down	17	17
Keyword	KW-0732	10	3233	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000367013,9606.ENSP00000376544,9606.ENSP00000416341	CD79A,GZMK,CCR7,VPREB3,IL7R,CD6,HLA-DQB1,TNFRSF25,CD79B,NELL2	9.6e-05	0.0222	Signal	Down	17	17
Keyword	KW-1015	10	3304	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000367013,9606.ENSP00000376544,9606.ENSP00000416341	CD79A,GZMK,CCR7,VPREB3,IL7R,CD6,HLA-DQB1,TNFRSF25,CD79B,NELL2	0.00012	0.0222	Disulfide bond	Down	17	17
SMART	SM00077	2	5	9606	9606.ENSP00000221972,9606.ENSP00000376544	CD79A,CD79B	1.49e-05	0.0108	Immunoreceptor tyrosine-based activation motif	Down	17	17
InterPro	IPR039695	2	2	9606	9606.ENSP00000221972,9606.ENSP00000376544	CD79A,CD79B	4.25e-06	0.0288	B-cell antigen receptor complex-associated protein alpha/beta chain	Down	17	17
PMID	PMID:30337941	11	149	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000363689,9606.ENSP00000364080,9606.ENSP00000367013,9606.ENSP00000398655	CD79A,GZMK,CCR7,VPREB3,LEF1,IL7R,CD6,ID3,HLA-DQB1,TNFRSF25,ITK	9.07e-20	3.76e-13	(2018) Meta-Analysis Identification of Highly Robust and Differential Immune-Metabolic Signatures of Systemic Host Response to Acute and Latent Tuberculosis in Children and Adults.	Down	17	17
PMID	PMID:35095746	7	56	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,GZMK,CCR7,VPREB3,LEF1,IL7R,CD79B	4.79e-14	9.94e-08	(2021) Single-Cell Transcriptome Profiling Unravels Distinct Peripheral Blood Immune Cell Signatures of RRMS and MOG Antibody-Associated Disease.	Down	17	17
PMID	PMID:36034287	5	14	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000398655	CD79A,GZMK,CCR7,IL7R,ITK	2.98e-12	4.12e-06	(2022) Bioinformatics analysis to identify potential biomarkers and therapeutic targets for ST-segment-elevation myocardial infarction-related ischemic stroke.	Down	17	17
PMID	PMID:33482825	6	73	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	CD79A,GZMK,CCR7,LEF1,IL7R,ID3	4.24e-11	3.76e-05	(2021) Single-cell resolution landscape of equine peripheral blood mononuclear cells reveals diverse cell types including T-bet(+) B cells.	Down	17	17
PMID	PMID:34489408	7	154	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000364080	CD79A,GZMK,CCR7,VPREB3,LEF1,IL7R,HLA-DQB1	4.04e-11	3.76e-05	(2021) A single-cell atlas of liver metastases of colorectal cancer reveals reprogramming of the tumor microenvironment in response to preoperative chemotherapy.	Down	17	17
PMID	PMID:29236683	5	25	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	GZMK,CCR7,LEF1,IL7R,ID3	3.63e-11	3.76e-05	(2017) Effector CD8 T cells dedifferentiate into long-lived memory cells.	Down	17	17
PMID	PMID:34349096	7	178	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000363689,9606.ENSP00000376544	CD79A,GZMK,CCR7,IL7R,CD6,ID3,CD79B	1.08e-10	6.37e-05	(2021) Dysregulated hematopoiesis in bone marrow marks severe COVID-19.	Down	17	17
PMID	PMID:24471430	6	89	9606	9606.ENSP00000221972,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,LEF1,IL7R,ID3,CD79B,ITK	1.32e-10	6.82e-05	(2014) Transcriptional control of early T and B cell developmental choices.	Down	17	17
PMID	PMID:34521820	6	93	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000364080,9606.ENSP00000367013	CD79A,GZMK,CCR7,IL7R,HLA-DQB1,TNFRSF25	1.69e-10	7.8e-05	(2021) Single-cell RNA-Seq reveals transcriptional heterogeneity and immune subtypes associated with disease activity in human myasthenia gravis.	Down	17	17
PMID	PMID:34658852	5	37	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,GZMK,LEF1,IL7R,CD79B	2.15e-10	8.43e-05	(2021) Single-Cell Transcriptomic Analysis of Peripheral Blood Reveals a Novel B-Cell Subset in Renal Allograft Recipients With Accommodation.	Down	17	17
PMID	PMID:28436433	6	96	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000323280,9606.ENSP00000376544	CD79A,GZMK,CCR7,LEF1,CD6,CD79B	2.03e-10	8.43e-05	(2017) Pathways and Genes Associated with Immune Dysfunction in Sheep Paratuberculosis.	Down	17	17
PMID	PMID:27566938	5	39	9606	9606.ENSP00000221972,9606.ENSP00000248948,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,VPREB3,LEF1,IL7R,CD79B	2.75e-10	9.49e-05	(2016) Distinct Genetic Networks Orchestrate the Emergence of Specific Waves of Fetal and Adult B-1 and B-2 Development.	Down	17	17
PMID	PMID:34642245	6	103	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,GZMK,CCR7,LEF1,IL7R,CD79B	3.05e-10	9.72e-05	(2021) Single-cell sequencing reveals antitumor characteristics of intratumoral immune cells in old mice.	Down	17	17
PMID	PMID:31028278	5	40	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	GZMK,CCR7,LEF1,IL7R,ID3	3.09e-10	9.72e-05	(2019) CXCR5(+)CD8(+) T cells are a distinct functional subset with an antitumor activity.	Down	17	17
PMID	PMID:35241665	6	112	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,GZMK,CCR7,IL7R,CD79B,ITK	4.94e-10	0.00014	(2022) Single-cell transcriptomics links malignant T cells to the tumor immune landscape in cutaneous T cell lymphoma.	Down	17	17
PMID	PMID:30093532	5	47	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000363689,9606.ENSP00000398655	CD79A,CCR7,IL7R,ID3,ITK	6.55e-10	0.00017	(2018) B cell adaptor for PI3-kinase (BCAP) modulates CD8(+) effector and memory T cell differentiation.	Down	17	17
PMID	PMID:33953163	6	124	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,GZMK,CCR7,LEF1,IL7R,CD79B	8.88e-10	2e-04	(2021) Single-cell profiling of tumor heterogeneity and the microenvironment in advanced non-small cell lung cancer.	Down	17	17
PMID	PMID:34185421	6	122	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	CD79A,GZMK,CCR7,LEF1,IL7R,ID3	8.09e-10	2e-04	(2021) Diversity and intratumoral heterogeneity in human gallbladder cancer progression revealed by single-cell RNA sequencing.	Down	17	17
PMID	PMID:34691592	5	51	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000376544	CD79A,GZMK,CCR7,LEF1,CD79B	9.6e-10	0.00021	(2021) Single-cell transcriptomic landscape of human blood cells.	Down	17	17
PMID	PMID:33272898	5	52	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	GZMK,CCR7,LEF1,IL7R,ID3	1.05e-09	0.00022	(2020) Memory CD8(+) T cell responses to cancer.	Down	17	17
PMID	PMID:36199375	4	14	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000398655	GZMK,CCR7,IL7R,ITK	1.18e-09	0.00023	(2022) Screening of Sepsis Biomarkers Based on Bioinformatics Data Analysis.	Down	17	17
PMID	PMID:34365737	5	53	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000364080	GZMK,CCR7,LEF1,IL7R,HLA-DQB1	1.15e-09	0.00023	(2021) Single-Cell RNA-Seq of T Cells in B-ALL Patients Reveals an Exhausted Subset with Remarkable Heterogeneity.	Down	17	17
PMID	PMID:32251514	6	132	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,GZMK,CCR7,LEF1,IL7R,CD79B	1.27e-09	0.00023	(2020) Single-cell RNA sequencing of murine islets shows high cellular complexity at all stages of autoimmune diabetes.	Down	17	17
PMID	PMID:33584715	5	56	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000323280	GZMK,CCR7,LEF1,IL7R,CD6	1.49e-09	0.00026	(2020) Single-Cell Analysis Reveals Characterization of Infiltrating T Cells in Moderately Differentiated Colorectal Cancer.	Down	17	17
PMID	PMID:34168655	6	139	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	CD79A,GZMK,CCR7,LEF1,IL7R,ID3	1.72e-09	0.00029	(2021) The Immune Atlas of Human Deciduas With Unexplained Recurrent Pregnancy Loss.	Down	17	17
PMID	PMID:35233377	5	60	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000364080	GZMK,CCR7,LEF1,IL7R,HLA-DQB1	2.07e-09	0.00033	(2022) A Novel Prognostic Biomarker LPAR6 in Hepatocellular Carcinoma via Associating with Immune Infiltrates.	Down	17	17
PMID	PMID:27521269	5	60	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000398655	GZMK,CCR7,LEF1,IL7R,ITK	2.07e-09	0.00033	(2016) Tumor-Specific T Cell Dysfunction Is a Dynamic Antigen-Driven Differentiation Program Initiated Early during Tumorigenesis.	Down	17	17
PMID	PMID:32103029	5	66	9606	9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000306157,9606.ENSP00000364080,9606.ENSP00000376544	CCR7,VPREB3,IL7R,HLA-DQB1,CD79B	3.25e-09	0.00048	(2020) Single-cell Transcriptome Mapping Identifies Common and Cell-type Specific Genes Affected by Acute Delta9-tetrahydrocannabinol in Humans.	Down	17	17
PMID	PMID:32657756	5	67	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000363689	GZMK,CCR7,IL7R,CD6,ID3	3.49e-09	0.00048	(2020) Umbilical cord blood-derived ILC1-like cells constitute a novel precursor for mature KIR(+)NKG2A(-) NK cells.	Down	17	17
PMID	PMID:22473038	5	66	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000367013,9606.ENSP00000398655	CCR7,LEF1,IL7R,TNFRSF25,ITK	3.25e-09	0.00048	(2012) Intrathymic programming of effector fates in three molecularly distinct gammadelta T cell subtypes.	Down	17	17
PMID	PMID:35265090	6	161	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000363689,9606.ENSP00000367013	CCR7,LEF1,IL7R,CD6,ID3,TNFRSF25	4.02e-09	0.00054	(2022) Transcriptome Profiling of Porcine Naive, Intermediate and Terminally Differentiated CD8(+) T Cells.	Down	17	17
PMID	PMID:34354714	5	71	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	GZMK,CCR7,LEF1,IL7R,ID3	4.6e-09	6e-04	(2021) CD8(+) T Cell Exhaustion in Cancer.	Down	17	17
PMID	PMID:34638368	6	167	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689,9606.ENSP00000376544	CD79A,GZMK,LEF1,IL7R,ID3,CD79B	4.98e-09	0.00062	(2021) Heterogeneity of Circulating Tumor Cell Neoplastic Subpopulations Outlined by Single-Cell Transcriptomics.	Down	17	17
PMID	PMID:33046887	5	72	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000363689	GZMK,CCR7,LEF1,IL7R,ID3	4.91e-09	0.00062	(2020) Two subsets of stem-like CD8(+) memory T cell progenitors with distinct fate commitments in humans.	Down	17	17
PMID	PMID:33723257	5	74	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	GZMK,CCR7,LEF1,IL7R,CD79B	5.6e-09	0.00066	(2021) Circulating mucosal-associated invariant T cells identify patients responding to anti-PD-1 therapy.	Down	17	17
PMID	PMID:31416885	4	22	9606	9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000398655	GZMK,CCR7,IL7R,ITK	5.74e-09	0.00066	(2019) An integrative bioinformatics analysis of microarray data for identifying hub genes as diagnostic biomarkers of preeclampsia.	Down	17	17
PMID	PMID:33552053	5	75	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000306157,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CCR7,IL7R,CD79B,ITK	5.97e-09	0.00067	(2020) Phosphoinositide 3-Kinase Signaling in the Tumor Microenvironment: What Do We Need to Consider When Treating Chronic Lymphocytic Leukemia With PI3K Inhibitors?	Down	17	17
PMID	PMID:33816243	5	76	9606	9606.ENSP00000221972,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157	CD79A,GZMK,CCR7,LEF1,IL7R	6.36e-09	0.00069	(2021) Single-Cell RNA-seq Reveals Characteristics of Malignant Cells and Immune Microenvironment in Subcutaneous Panniculitis-Like T-Cell Lymphoma.	Down	17	17
