category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	set_label	n_input_symbols	n_mapped_proteins
PMID	PMID:31419078	3	18	9606	9606.ENSP00000259396,9606.ENSP00000349446,9606.ENSP00000357726	ORM1,ARG1,S100A12	2.33e-07	0.0321	(2019) Identification of differentially expressed genes and signaling pathways in chronic obstructive pulmonary disease via bioinformatic analysis.	Up	12	12
PMID	PMID:25436215	3	18	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	2.33e-07	0.0321	(2014) A circulating subpopulation of monocytic myeloid-derived suppressor cells as an independent prognosticpredictive factor in untreated non-small lung cancer patients.	Up	12	12
PMID	PMID:22999528	3	18	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	2.33e-07	0.0321	(2012) Macrophage imbalance (M1 vs. M2) and upregulation of mast cells in wall of ruptured human cerebral aneurysms: preliminary results.	Up	12	12
PMID	PMID:35069541	3	20	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	3.09e-07	0.0367	(2021) Innate Phagocyte Polarization in the Oral Cavity.	Up	12	12
PMID	PMID:28713327	3	20	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	3.09e-07	0.0367	(2017) IL-2Anti-IL-2 Complex Attenuates Inflammation and BBB Disruption in Mice Subjected to Traumatic Brain Injury.	Up	12	12
PMID	PMID:22081431	3	20	9606	9606.ENSP00000259396,9606.ENSP00000349446,9606.ENSP00000361405	ORM1,ARG1,MMP9	3.09e-07	0.0367	(2012) Conditional deletion of Stat3 in mammary epithelium impairs the acute phase response and modulates immune cell numbers during post-lactational regression.	Up	12	12
PMID	PMID:35183252	4	99	9606	9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	CA4,ARG1,MMP9,FCGR3B	3.46e-07	0.0378	(2022) Tumor-associated macrophages in cancer: recent advancements in cancer nanoimmunotherapies.	Up	12	12
PMID	PMID:33006196	4	101	9606	9606.ENSP00000259396,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	ORM1,ARG1,S100A12,MMP9	3.74e-07	0.0378	(2021) Genome-wide postnatal changes in immunity following fetal inflammatory response.	Up	12	12
PMID	PMID:33813808	3	21	9606	9606.ENSP00000284818,9606.ENSP00000357726,9606.ENSP00000433642	LY96,S100A12,FCGR3B	3.54e-07	0.0378	(2021) Up-to-date information on polymyxin B-immobilized fiber column direct hemoperfusion for septic shock.	Up	12	12
PMID	PMID:34414242	3	21	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	3.54e-07	0.0378	(2021) Bone Marrow Neutrophils of Multiple Myeloma Patients Exhibit Myeloid-Derived Suppressor Cell Activity.	Up	12	12
PMID	PMID:31357391	4	100	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	LY96,ARG1,MMP9,FCGR3B	3.6e-07	0.0378	(2019) Innate Immune Cells and Toll-like Receptor-Dependent Responses at the Maternal-Fetal Interface.	Up	12	12
PMID	PMID:20155833	3	22	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	4.02e-07	0.0387	(2010) Transcription of proteinase 3 and related myelopoiesis genes in peripheral blood mononuclear cells of patients with active Wegeners granulomatosis.	Up	12	12
PMID	PMID:35008355	4	104	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	LY96,ARG1,MMP9,FCGR3B	4.19e-07	0.0395	(2021) Macrophage and Neutrophil Interactions in the Pancreatic Tumor Microenvironment Drive the Pathogenesis of Pancreatic Cancer.	Up	12	12
PMID	PMID:32341919	3	24	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	5.1e-07	0.047	(2020) The role of macrophages in the formation of hypertrophic scars and keloids.	Up	12	12
RCTM	HSA-6798695	6	473	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,CRISPLD2,ARG1,S100A12,MMP9,FCGR3B	1.7e-07	0.00037	Neutrophil degranulation	Up	12	12
RCTM	HSA-168249	7	1025	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,CRISPLD2,LY96,ARG1,S100A12,MMP9,FCGR3B	6.95e-07	0.00075	Innate Immune System	Up	12	12
